sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_metric_wins,gan_metric_wins,ties,overall_metric_majority,distributional_gan_wins_out_of_5,tail_gan_wins_out_of_6,mt_gan_case,pd_cnn_case,gan_metric_majority,gan_metric_majority_but_mt_not_gan,mt_gan_tier,groups,recommendation_group,gan_winning_measures,cnn_winning_measures,tie_measures,wpd_bias_cnn,wpd_bias_gan,wpd_bias_winner,wpd_mae_cnn,wpd_mae_gan,wpd_mae_winner,wpd_rmse_cnn,wpd_rmse_gan,wpd_rmse_winner,wpd_w1_cnn,wpd_w1_gan,wpd_w1_winner,psd_log_l2_cnn,psd_log_l2_gan,psd_log_l2_winner,psd_slope_abs_delta_cnn,psd_slope_abs_delta_gan,psd_slope_abs_delta_winner,grad_mae_cnn,grad_mae_gan,grad_mae_winner,grad_w1_cnn,grad_w1_gan,grad_w1_winner,grad_kurtosis_abs_delta_cnn,grad_kurtosis_abs_delta_gan,grad_kurtosis_abs_delta_winner,exceed_frac_abs_delta_t5_cnn,exceed_frac_abs_delta_t5_gan,exceed_frac_abs_delta_t5_winner,exceed_frac_abs_delta_t10_cnn,exceed_frac_abs_delta_t10_gan,exceed_frac_abs_delta_t10_winner,exceed_frac_abs_delta_t15_cnn,exceed_frac_abs_delta_t15_gan,exceed_frac_abs_delta_t15_winner,exceed_frac_abs_delta_p90_cnn,exceed_frac_abs_delta_p90_gan,exceed_frac_abs_delta_p90_winner,exceed_frac_abs_delta_p95_cnn,exceed_frac_abs_delta_p95_gan,exceed_frac_abs_delta_p95_winner,exceed_frac_abs_delta_p99_cnn,exceed_frac_abs_delta_p99_gan,exceed_frac_abs_delta_p99_winner
93,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,3,12,0,GAN,5,6,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99",WPD MAE · WPD RMSE · Gradient MAE,,-43.239029213703674,27.524225799857504,GAN,163.5304449855864,221.5383841923986,CNN,288.73965640072527,396.13348272536916,CNN,45.93572940326813,27.93411036307122,GAN,0.9138022304007428,0.45735169898999745,GAN,1.024317050953112,0.9819039293354308,GAN,0.34020406367899453,0.3717712022734091,CNN,0.23402462931334256,0.04304778752248488,GAN,4.267304288235781,1.7926259514273042,GAN,0.005912000000000028,0.0027719999999999967,GAN,0.01541600000000004,0.008863999999999983,GAN,0.00698,0.005992000000000001,GAN,0.017072000000000004,0.0036239999999999883,GAN,0.012024,0.0025439999999999977,GAN,0.0058920000000000005,0.004932000000000001,GAN
90,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,4,11,0,GAN,5,5,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD MAE · WPD RMSE · Gradient MAE · Exceedance |Δ|, s>5",,-25.210949227197933,17.792539871758418,GAN,98.75238119122952,142.26826441775998,CNN,180.6240740381717,248.3099734000084,CNN,27.271440060215596,18.177518098219178,GAN,0.8255942423785229,0.477544909685345,GAN,1.1563650171378237,0.9269931733548815,GAN,0.2773526099146924,0.31411240691416165,CNN,0.2000677243574337,0.054377428175233916,GAN,6.607797890129849,4.095846431615751,GAN,0.009243999999999919,0.011355999999999922,CNN,0.008903999999999995,0.007812000000000013,GAN,0.000628,0.00017200000000000006,GAN,0.010960000000000011,0.006043999999999994,GAN,0.009396000000000002,0.002671999999999994,GAN,0.00772,0.0006399999999999999,GAN
91,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,4,11,0,GAN,5,5,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD MAE · WPD RMSE · Gradient MAE · Exceedance |Δ|, s>5",,-26.326763278339264,18.410866152163052,GAN,104.59579369570527,149.24059336225568,CNN,193.0959688678879,257.48252952892585,CNN,27.727727474423453,18.532673603373954,GAN,0.8481384955681821,0.4214782973566805,GAN,1.1215651672411573,0.9320745422421326,GAN,0.27696959061910514,0.31009789585810976,CNN,0.19609938679482714,0.05585048974460213,GAN,11.222097266995277,11.147626970969913,GAN,0.0051720000000000654,0.009036000000000044,CNN,0.010891999999999985,0.006180000000000019,GAN,0.001472,0.000588,GAN,0.01126400000000001,0.006379999999999997,GAN,0.008612000000000002,0.0017079999999999942,GAN,0.005448000000000001,0.002156,GAN
94,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,4,11,0,GAN,4,6,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99",WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE,,-49.294532589259916,28.921665964787763,GAN,206.71383119135655,269.5874034499792,CNN,352.9788205602513,459.98047816885224,CNN,56.25097207946962,29.59251239390758,GAN,1.0301702737012448,0.5066075207481375,GAN,1.1053212195657642,1.1389118353858816,CNN,0.3743699490264438,0.3991428315905086,CNN,0.24982277804196393,0.05674902184084463,GAN,1.7426972600991988,0.41363441829067327,GAN,0.006328,0.0026720000000000077,GAN,0.014560000000000017,0.012983999999999996,GAN,0.01076,0.005763999999999998,GAN,0.01756400000000001,0.0038799999999999946,GAN,0.013356,0.0046,GAN,0.005904,0.0025839999999999995,GAN
10,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,GAN,3,6,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99",WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE · Gradient kurtosis |Δ|,,-39.83815196972408,-25.020247888013085,GAN,278.2545073653114,342.4962762984713,CNN,555.7312679885772,646.862797917265,CNN,53.656084115925694,38.03373442562223,GAN,0.7568204214551575,0.6567610312860674,GAN,1.0460582966056386,1.67425803658278,CNN,0.36870187989129716,0.39237525682574886,CNN,0.218423523104424,0.04090252157971389,GAN,1.1465758069504375,4.190672964514084,CNN,0.0035359999999999836,0.0013279999999999959,GAN,0.0037760000000000016,0.0020480000000000498,GAN,0.009464,0.007152000000000006,GAN,0.011436000000000002,0.0068120000000000125,GAN,0.010868000000000003,0.008376000000000001,GAN,0.0037,0.003632,GAN
11,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,GAN,3,6,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99",WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE · Gradient kurtosis |Δ|,,-43.37986882611018,-11.113953090561832,GAN,270.27078472056496,344.3242148440382,CNN,507.8111337650393,622.9386690756429,CNN,49.50182970113581,32.83493861208658,GAN,0.80191130157697,0.6331178339361175,GAN,0.8812282966129328,1.5014683945343505,CNN,0.3677900042283905,0.39941387185061805,CNN,0.21796784228540447,0.033568091611494814,GAN,1.1076607736569493,2.941430465533781,CNN,0.0038319999999999466,0.0024760000000000337,GAN,0.005700000000000038,0.0034600000000000186,GAN,0.006711999999999996,0.003060000000000007,GAN,0.011148000000000005,0.005535999999999999,GAN,0.009196000000000003,0.006176000000000001,GAN,0.00632,0.003856,GAN
95,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,GAN,3,6,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99",WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE · Gradient kurtosis |Δ|,,-51.47449704853832,30.97836500063438,GAN,233.4123589150837,305.4871794024149,CNN,396.9400434231814,522.710738047372,CNN,59.32676619391701,31.292454498960375,GAN,1.0635049103606833,0.5342369558766353,GAN,1.163559506345432,1.251402170976572,CNN,0.3936554809074822,0.42870073123399577,CNN,0.25996086222117715,0.07028621244570969,GAN,0.21518458455761902,2.0328507550503616,CNN,0.006587999999999927,0.00033199999999999896,GAN,0.01813999999999999,0.008011999999999964,GAN,0.010103999999999998,0.007320000000000004,GAN,0.017228000000000007,0.0039000000000000007,GAN,0.012772000000000006,0.007595999999999999,GAN,0.005628,0.003259999999999999,GAN
96,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,GAN,3,6,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99",WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE · Gradient kurtosis |Δ|,,-53.430044055442394,36.91585741910812,GAN,257.7916503846996,328.81227447902126,CNN,433.8887483268986,557.6730214270633,CNN,64.14809794254607,37.104931403152406,GAN,1.088972988282614,0.5836830501683096,GAN,1.20246046443319,1.3990996426972342,CNN,0.4156940296387172,0.4412501619544775,CNN,0.28075951563385904,0.07574086487799904,GAN,1.0428572322826373,2.1700038690242067,CNN,0.006423999999999985,0.0013079999999999758,GAN,0.018003999999999964,0.00615600000000005,GAN,0.010711999999999996,0.006972000000000006,GAN,0.01632,0.005955999999999989,GAN,0.014816000000000003,0.007896,GAN,0.005468000000000001,0.004451999999999999,GAN
100,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,GAN,4,5,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE · Exceedance |Δ|, s>10",,-53.97677143181411,39.7060810358522,GAN,267.15902832862446,346.42854021771353,CNN,462.2659583342181,605.7366916735419,CNN,69.36221354228127,39.75821637675931,GAN,1.1834970517079624,0.7424851408546276,GAN,1.368009292955225,1.783761918654145,CNN,0.42723420339883594,0.45137580863672705,CNN,0.29835342090252814,0.0725667505729281,GAN,1.5267070292814289,1.3573996963292014,GAN,0.006552000000000002,0.0032919999999999616,GAN,0.00717599999999996,0.012187999999999977,CNN,0.010176000000000001,0.005535999999999999,GAN,0.028244000000000005,0.0019440000000000013,GAN,0.0198,0.001223999999999996,GAN,0.005564,0.005044,GAN
120,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,GAN,3,6,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99",WPD MAE · WPD RMSE · PSD log-L2 · PSD slope |Δ| · Gradient MAE,,-54.59872972223746,19.807033913207672,GAN,241.29944817581048,309.5303614677645,CNN,402.7022422288258,499.6170709921167,CNN,62.153370020390085,30.558182451155204,GAN,0.5139931822181151,0.6594494495861232,CNN,1.0982811248833242,1.2444935233439238,CNN,0.3382016856093417,0.36960340035765415,CNN,0.23682892003560702,0.07494999909427055,GAN,2.1865425488995545,0.3390607419899414,GAN,0.007535999999999987,0.006099999999999994,GAN,0.009767999999999999,0.006743999999999972,GAN,0.007507999999999987,0.006024000000000002,GAN,0.0072640000000000066,0.0008559999999999957,GAN,0.008304000000000006,0.0008760000000000018,GAN,0.006396000000000001,0.00332,GAN
9,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,GAN,3,5,False,False,True,True,,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_mt_disagreement,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95","WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE · Gradient kurtosis |Δ| · Exceedance |Δ|, p99",,-41.44450152923926,-33.56576704341278,GAN,288.2607483740837,344.42788096174087,CNN,599.4648989499779,679.1343220547698,CNN,49.16999316437071,40.02471878068424,GAN,0.681537462074852,0.6767633293744656,GAN,1.1074398494686122,1.746215916249759,CNN,0.3796610425240004,0.39398853464369327,CNN,0.21678010257301614,0.052094475952956285,GAN,2.6306813929109545,4.448680020766325,CNN,0.0045039999999999525,0.0026960000000000317,GAN,0.003924000000000039,0.00033600000000000296,GAN,0.010396000000000002,0.008043999999999996,GAN,0.011807999999999999,0.009660000000000002,GAN,0.011324,0.008168000000000002,GAN,0.003288,0.003404,CNN
